Start Date,End Date,Length of Lease,Lease Sizes,Country,State,State Category,Zip Code,Regions,Rentable Sqft,Usable Sqft,Structured Parking Spaces,Surface Parking Spaces,Surface Sizes,Rent Amount
2023-08-04,2033-08-03,3652,Long 3000-4999,US,MD,Other,20854,Region 2,10313.0,9902.0,0,0,Small 0-49,217549.87
2014-01-01,2028-12-31,5478,Very Long 5000-15000,US,MD,Other,20854,Region 2,512774.0,489288.0,13,0,Small 0-49,17157891.3
2019-11-01,2034-10-31,5478,Very Long 5000-15000,US,IL,IL,60606,Region 6,247414.0,224225.0,5,0,Small 0-49,7464312.11
2021-06-11,2036-06-10,5478,Very Long 5000-15000,US,MD,Other,20850,Region 2,17026.0,14837.0,0,7,Small 0-49,271770.64
2015-10-09,2025-10-08,3652,Long 3000-4999,US,MD,Other,20850,Region 2,54326.0,54267.0,0,2,Small 0-49,1374266.04
2021-09-10,2036-09-09,5478,Very Long 5000-15000,US,MD,Other,20850,Region 2,115383.0,115185.0,0,12,Small 0-49,3020331.91
2015-06-21,2025-06-20,3652,Long 3000-4999,US,MD,Other,20007,Region 2,64471.0,58165.0,0,0,Small 0-49,2006131.79
2015-04-27,2025-04-26,3652,Long 3000-4999,US,MD,Other,20852,Region 2,29942.0,28704.0,20,20,Small 0-49,1046189.06
2016-11-10,2026-11-09,3651,Long 3000-4999,US,MD,Other,20904,Region 2,15732.0,14173.0,0,26,Small 0-49,397273.91
2016-04-18,2026-04-17,3651,Long 3000-4999,US,CA,CA,94104,Region 9,72509.0,71437.0,51,0,Small 0-49,1323097.11
2013-03-01,2025-02-28,4382,Long 3000-4999,US,FL,Other,33431,Region 3,7046.0,6291.0,1,0,Small 0-49,221447.96
2023-01-01,2032-12-31,3652,Long 3000-4999,US,IL,IL,60606,Region 6,30000.0,30000.0,0,12,Small 0-49,508873.97
2023-03-01,2028-02-29,1826,Medium 1000-2999,US,VA,Other,22102,Region 2,27352.0,25926.0,0,10,Small 0-49,951055.68
2018-08-27,2028-08-26,3652,Long 3000-4999,US,MD,Other,20705,Region 2,78918.0,67082.0,0,48,Small 0-49,2020211.21
2018-08-31,2033-08-30,5478,Very Long 5000-15000,US,NY,NY,10017,Region 1,117136.0,101161.0,290,0,Small 0-49,3193737.01
2023-04-30,2038-04-29,5478,Very Long 5000-15000,US,MD,Other,20814,Region 2,21268.0,18672.0,0,3,Small 0-49,565170.7
2022-03-29,2037-03-28,5478,Very Long 5000-15000,US,DC,Other,20006,Region 2,50978.0,39045.0,0,77,Large 50-99,2852080.12
2015-09-07,2025-09-06,3652,Long 3000-4999,US,DC,Other,20005,Region 2,29744.0,27479.0,0,0,Small 0-49,884356.71
2011-04-01,2026-03-31,5478,Very Long 5000-15000,US,MD,Other,20705,Region 2,116987.0,116987.0,0,0,Small 0-49,992668.5
2015-10-01,2025-09-30,3652,Long 3000-4999,US,MD,Other,20814,Region 2,78001.0,70252.0,0,312,Jumbo 250-5000,1776929.96
2022-02-25,2037-02-24,5478,Very Long 5000-15000,US,VA,Other,22102,Region 2,68176.0,60667.0,18,0,Small 0-49,1826095.62
2016-11-01,2031-10-31,5477,Very Long 5000-15000,US,VA,Other,22102,Region 2,104000.0,95900.0,16,0,Small 0-49,2854996.68
2002-01-18,2027-03-17,9189,Very Long 5000-15000,US,CO,Other,80202,Region 8,265000.0,265000.0,0,0,Small 0-49,3668103.9
2020-01-14,2030-01-13,3652,Long 3000-4999,US,MD,Other,20852,Region 2,85970.0,75845.0,3,0,Small 0-49,2140774.32
2018-03-07,2028-03-06,3652,Long 3000-4999,US,IL,IL,60606,Region 6,95186.0,92285.0,0,5,Small 0-49,2481784.65
2012-04-06,2025-04-05,4747,Long 3000-4999,US,NY,NY,14221,Region 1,268762.0,226000.0,0,700,Jumbo 250-5000,9516368.94
2013-01-19,2025-01-18,4382,Long 3000-4999,US,IL,IL,60606,Region 6,61902.0,53957.0,9,0,Small 0-49,2210559.5
2014-09-01,2029-08-31,5478,Very Long 5000-15000,US,VA,Other,22102,Region 2,80677.0,70785.0,7,163,XLarge 100-249,3142528.1
2018-09-18,2028-09-17,3652,Long 3000-4999,US,MD,Other,20785,Region 2,60389.0,60138.0,0,0,Small 0-49,645471.81
2013-12-08,2026-12-07,4747,Long 3000-4999,US,NJ,Other,07302,Region 0,91525.0,91525.0,0,0,Small 0-49,1409485.0
2011-06-15,2026-02-14,5358,Very Long 5000-15000,US,NJ,Other,07656,Region 0,32200.0,31218.0,0,84,Large 50-99,817334.68
2017-03-13,2027-03-12,3651,Long 3000-4999,US,MD,Other,20782,Region 2,76372.0,66411.0,24,0,Small 0-49,2543780.6
